team,lat,lng,points
2,19.302729,-99.261503,10167
2,19.305819,-99.261119,12067
3,19.334961,-99.159101,7506
3,19.335098,-99.155955,6028
1,19.558113,-99.230758,4000
2,19.539609,-99.226758,7315
2,19.544189,-99.223938,4000
3,19.552854,-99.223333,9837
1,19.371533,-99.080536,9488
1,19.314787,-99.167818,11256
3,19.326256,-99.17808,10156
1,19.324167,-99.168781,6356
2,19.385447,-99.094653,3728
2,19.547008,-99.226897,2000
1,19.549782,-99.219315,10838
1,19.550621,-99.213975,6878
2,19.38282,-99.096713,7321
2,19.380411,-99.100959,5644
1,19.397106,-99.098638,2000
2,19.39142,-99.095097,4000
1,19.393317,-99.089689,10693
2,19.395154,-99.092047,4000
2,19.392262,-99.099504,5466
1,19.396034,-99.084786,34396
1,19.311438,-98.9254,2000
2,19.333672,-99.146145,6000
2,19.390278,-99.079598,5500
1,19.361801,-99.184838,4700
1,19.371076,-99.189868,2000
1,19.36245,-99.183019,6000
1,19.37354,-99.178843,4000
1,19.374836,-99.188414,10142
1,19.488506,-98.869754,14039
1,19.378368,-99.179088,1190
1,19.404701,-99.081033,10159
1,19.338137,-99.18635,4627
1,19.351892,-99.186327,5588
1,19.346863,-99.180209,2000
1,19.338968,-99.182483,7682
2,19.34717,-99.186041,6000
2,19.498735,-99.112831,2000
2,19.491654,-99.119353,2000
1,19.501721,-99.117842,3598
1,19.4937,-99.121237,2000
1,19.502293,-99.120914,14236
2,19.356941,-99.186925,6943
2,19.359084,-99.183649,4398
2,19.670858,-99.217359,6176
2,19.349389,-99.179901,10603
1,19.356526,-99.174311,7273
2,19.351604,-99.177419,6338
2,19.688103,-99.221764,13025
1,19.535051,-99.230969,14309
1,19.669966,-99.207445,4000
1,19.669964,-99.206448,4000
3,19.6847,-99.205461,4000
2,19.680693,-99.203769,5000
1,19.359078,-99.193478,6000
1,19.350147,-99.190399,16281
1,19.619608,-99.216617,2000
3,19.674109,-99.201304,2000
3,19.309509,-99.263407,22440
1,19.294729,-98.930269,4901
1,19.287842,-99.119612,6000
2,19.288972,-99.116758,10091
2,19.345783,-99.17359,6000
2,19.342444,-99.178764,4000
3,19.626966,-99.207461,5711
2,19.543791,-99.235317,6000
2,19.549932,-99.239295,2500
2,19.554406,-99.241481,6000
3,19.540718,-99.240581,2000
2,19.489471,-99.103224,7351
2,19.488844,-99.10703,5744
2,19.503226,-99.111415,400
3,19.275809,-99.118671,10424
1,19.273569,-99.119928,2000
3,19.378403,-99.185631,9264
3,19.546225,-99.240362,1500
1,19.315856,-99.241727,4000
2,19.405319,-99.100953,5587
1,19.371001,-99.18002,4000
1,19.370274,-99.173729,7405
2,19.319812,-98.94053,4480
2,19.32152,-98.943728,13889
1,19.315137,-98.928884,11816
1,19.314911,-98.932276,6000
1,19.559151,-99.215655,6268
